Date,Worth
2007/02/02,997.966
2007/02/05,997.966
2007/02/06,997.966
2007/02/07,997.966
2007/02/08,997.966
2007/02/09,997.966
2007/02/12,997.966
2007/02/13,997.966
2007/02/14,997.966
2007/02/15,997.966
2007/02/16,997.966
2007/02/20,997.966
2007/02/21,997.966
2007/02/22,997.966
2007/02/23,997.966
2007/02/26,997.966
2007/02/27,997.966
2007/02/28,997.966
2007/03/01,997.966
2007/03/02,997.966
2007/03/05,997.966
2007/03/06,997.966
2007/03/07,997.966
2007/03/08,997.966
2007/03/09,997.966
2007/03/12,997.966
2007/03/13,997.966
2007/03/14,997.966
2007/03/15,997.966
2007/03/16,997.966
2007/03/19,997.966
2007/03/20,997.966
2007/03/21,997.966
2007/03/22,997.966
2007/03/23,997.966
2007/03/26,997.966
2007/03/27,997.966
2007/03/28,997.966
2007/03/29,997.966
2007/03/30,997.966
2007/04/02,997.966
2007/04/03,997.966
2007/04/04,997.966
2007/04/05,997.966
2007/04/09,997.966
2007/04/10,997.966
2007/04/11,997.966
2007/04/12,997.966
2007/04/13,997.966
2007/04/16,997.966
2007/04/17,997.966
2007/04/18,997.966
2007/04/19,997.966
2007/04/20,997.966
2007/04/23,997.966
2007/04/24,997.966
2007/04/25,997.966
2007/04/26,997.966
2007/04/27,997.058
2007/04/30,1001.54
2007/05/01,1001.54
2007/05/02,1001.54
2007/05/03,1001.54
2007/05/04,1001.54
2007/05/07,1001.54
2007/05/08,1001.54
2007/05/09,1001.54
2007/05/10,1001.54
2007/05/11,1001.54
2007/05/14,1001.54
2007/05/15,1001.54
2007/05/16,1001.54
2007/05/17,1001.54
2007/05/18,1001.54
2007/05/21,1001.54
2007/05/22,1001.54
2007/05/23,1001.54
2007/05/24,1001.54
2007/05/25,1001.54
2007/05/29,1001.54
2007/05/30,1001.54
2007/05/31,1001.54
2007/06/01,1001.54
2007/06/04,1001.54
2007/06/05,1001.54
2007/06/06,1001.54
2007/06/07,1001.54
2007/06/08,1001.54
2007/06/11,1001.54
2007/06/12,1001.54
2007/06/13,1001.54
2007/06/14,1001.54
2007/06/15,1001.54
2007/06/18,1001.54
2007/06/19,1004.62
2007/06/20,1004.62
2007/06/21,1004.62
2007/06/22,1001.7
2007/06/25,1003.2
2007/06/26,1002.18
2007/06/27,1002.18
2007/06/28,1002.48
2007/06/29,999.65
2007/07/02,999.995
2007/07/03,999.995
2007/07/05,992.272
2007/07/06,991.919
2007/07/09,992.389
2007/07/10,986.948
2007/07/11,986.493
2007/07/12,986.919
2007/07/13,986.919
2007/07/16,987.035
2007/07/17,987.035
2007/07/18,986.834
2007/07/19,983.976
2007/07/20,980.151
2007/07/23,984.707
2007/07/24,984.707
2007/07/25,984.707
2007/07/26,984.707
2007/07/27,984.034
2007/07/30,985.2
2007/07/31,985.2
2007/08/01,985.2
2007/08/02,985.2
2007/08/03,985.2
2007/08/06,985.2
2007/08/07,985.2
2007/08/08,985.2
2007/08/09,985.2
2007/08/10,985.2
2007/08/13,985.2
2007/08/14,985.2
2007/08/15,985.2
2007/08/16,985.2
2007/08/17,985.2
2007/08/20,985.2
2007/08/21,985.2
2007/08/22,985.2
2007/08/23,985.2
2007/08/24,985.2
2007/08/27,985.2
2007/08/28,985.2
2007/08/29,985.2
2007/08/30,985.2
2007/08/31,983.719
2007/09/04,978.297
2007/09/05,979.697
2007/09/06,981.755
2007/09/07,981.755
2007/09/10,981.755
2007/09/11,981.755
2007/09/12,981.755
2007/09/13,981.755
2007/09/14,981.755
2007/09/17,981.755
2007/09/18,981.755
2007/09/19,981.755
2007/09/20,981.755
2007/09/21,981.755
2007/09/24,981.755
2007/09/25,981.755
2007/09/26,981.608
2007/09/27,981.608
2007/09/28,981.608
2007/10/01,981.608
2007/10/02,981.608
2007/10/03,981.608
2007/10/04,981.608
2007/10/05,981.608
2007/10/08,972.245
2007/10/09,976.543
2007/10/10,972.276
2007/10/11,983.365
2007/10/12,983.365
2007/10/15,983.733
2007/10/16,983.733
2007/10/17,983.733
2007/10/18,979.21
2007/10/19,979.392
2007/10/22,970.993
2007/10/23,958.059
2007/10/24,962.927
2007/10/25,973.897
2007/10/26,973.897
2007/10/29,973.897
2007/10/30,973.897
2007/10/31,973.897
2007/11/01,973.897
2007/11/02,973.897
2007/11/05,974.958
2007/11/06,974.958
2007/11/07,974.958
2007/11/08,974.958
2007/11/09,974.958
2007/11/12,974.958
2007/11/13,974.958
2007/11/14,974.958
2007/11/15,974.958
2007/11/16,974.958
2007/11/19,974.958
2007/11/20,974.958
2007/11/21,974.958
2007/11/23,974.958
2007/11/26,974.958
2007/11/27,974.958
2007/11/29,974.958
2007/11/30,974.958
2007/12/03,974.958
2007/12/04,974.958
2007/12/05,974.958
2007/12/06,974.958
2007/12/07,974.958
2007/12/10,974.958
2007/12/11,974.958
2007/12/12,974.958
2007/12/13,974.958
2007/12/14,974.958
2007/12/17,974.958
2007/12/18,974.958
2007/12/19,974.958
2007/12/20,974.958
2007/12/21,974.958
2007/12/24,974.958
2007/12/26,974.958
2007/12/27,974.958
2007/12/28,974.958
2007/12/31,974.958
2008/01/02,974.958
2008/01/03,974.958
2008/01/04,974.958
2008/01/07,968.796
2008/01/08,963.26
2008/01/09,969.736
2008/01/10,964.237
2008/01/11,957.194
2008/01/14,964.974
2008/01/15,964.974
2008/01/16,964.974
2008/01/17,977.488
2008/01/18,977.488
2008/01/22,977.488
2008/01/23,977.488
2008/01/24,988.075
2008/01/25,983.341
2008/01/28,974.822
2008/01/29,970.223
2008/01/30,975.296
2008/01/31,975.296
2008/02/01,975.296
2008/02/04,975.296
2008/02/05,975.296
2008/02/06,975.296
2008/02/07,975.296
2008/02/08,975.296
2008/02/11,975.296
2008/02/12,975.296
2008/02/13,975.296
2008/02/14,975.296
2008/02/15,975.296
2008/02/19,975.296
2008/02/20,975.296
2008/02/21,975.296
2008/02/22,975.296
2008/02/25,975.296
2008/02/26,975.296
2008/02/27,975.296
2008/02/28,975.296
2008/02/29,975.296
2008/03/03,975.296
2008/03/04,975.296
2008/03/05,975.296
2008/03/06,975.296
2008/03/07,975.296
2008/03/10,975.296
2008/03/11,975.296
2008/03/12,975.296
2008/03/13,975.296
2008/03/14,975.296
2008/03/17,975.296
2008/03/18,975.296
2008/03/19,975.296
2008/03/20,975.296
2008/03/24,975.296
2008/03/25,972.093
2008/03/26,967.439
2008/03/27,977.322
2008/03/28,977.322
2008/03/31,977.322
2008/04/01,977.322
2008/04/02,978.95
2008/04/03,978.95
2008/04/04,978.95
2008/04/07,983.123
2008/04/08,983.123
2008/04/09,983.123
2008/04/10,983.123
2008/04/11,983.123
2008/04/14,983.123
2008/04/15,983.123
2008/04/16,983.123
2008/04/17,983.123
2008/04/18,983.123
2008/04/21,983.123
2008/04/22,990.633
2008/04/23,990.633
2008/04/24,987.705
2008/04/25,997.199
2008/04/28,997.199
2008/04/29,997.199
2008/04/30,1001.56
2008/05/01,1001.56
2008/05/02,1004.08
2008/05/05,1002.59
2008/05/06,1002.76
2008/05/07,1004.34
2008/05/08,1004.34
2008/05/09,1004.34
2008/05/12,1004.34
2008/05/13,1002.15
2008/05/14,1007.82
2008/05/15,1007.82
2008/05/16,1007.82
2008/05/19,1007.82
2008/05/20,1007.82
2008/05/21,1007.82
2008/05/22,1007.82
2008/05/23,1007.82
2008/05/27,1007.82
2008/05/28,1007.82
2008/05/29,1007.82
2008/05/30,1007.82
2008/06/02,1007.82
2008/06/03,1007.82
2008/06/04,1007.82
2008/06/05,1010.69
2008/06/06,1011.3
2008/06/09,1011.3
2008/06/10,1011.3
2008/06/11,1011.3
2008/06/12,1011.3
2008/06/13,1011.3
